id,question,question_category,number_of_answer,number_of_vote,number_of_view,answer_link,question_tag,answer
p-2-a-0,জঙ্গাস্থি কি?,জীববিজ্ঞান,1,0,12,https://www.sciencebee.com.bd/qna/33048/%E0%A6%9C%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BF-%E0%A6%95%E0%A6%BF,"['অস্থি', 'bone']","জঙ্ঘাস্থি বা টিবিয়া ,মেরুদণ্ডীদের হাঁটু এর নিচে অবস্থিত পায়ের সবচেয়ে বড় ও শক্ত হাড় এবং এটি হাটুকে পায়ের গোড়ালির সাথে যুক্ত করে। এটি পায়ের মিডিয়ালি অবস্থিত। এটি অনুজঙ্ঘাস্থির সাথে যুক্ত থেকে সিনডেসমোসিস সন্ধি গঠন করে। জঙ্ঘাস্থি দেহের ওজন বহনকারী সবচেয়ে শক্তিশালি অস্থি।"
p-2-a-None,ভেজা জায়গায় কোন ধরনের শিরিষ কাগজ ব্যবহার করা হয়?,বিবিধ,0,0,13,https://www.sciencebee.com.bd/qna/33043/%E0%A6%9C%E0%A6%BE%E0%A7%9F%E0%A6%97%E0%A6%BE%E0%A7%9F-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%B9%E0%A6%BE%E0%A6%B0,"['সিরিস', 'কাগজ', 'পানি']",
p-2-a-None,How should this medicine be used?,রসায়ন,0,0,8,https://www.sciencebee.com.bd/qna/33042/should-medicine,"['health', 'medicine']",
p-2-a-None,"মস্তিষ্কের নিউরন যেহেতু বিভাজিত হতে পারে না, তাহলে মস্তিষ্কে ""ব্রেন ক্যান্সার"" কিভাবে হয়? (সহজে ও বিস্তারিত ব্যাখ্যা)",স্বাস্থ্য ও চিকিৎসা,0,0,27,https://www.sciencebee.com.bd/qna/33040/%E0%A6%AE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%95%E0%A7%87%E0%A6%B0,"['রাসায়নিক', 'পদার্থ', 'চিকিৎসা']",
p-2-a-1,টাইম ট্রাভেল কি সম্ভব?,পদার্থবিজ্ঞান,2,+1,31,https://www.sciencebee.com.bd/qna/33039/%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AD%E0%A7%87%E0%A6%B2-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AD%E0%A6%AC,"['টাইম', 'ট্রাভেল', 'লুপ', 'ডাইমেনশন']","There is currently no scientific evidence to suggest that time travel is possible. While the concept of time travel has been explored in various works of science fiction, it remains purely fictional at this time.In physics, the concept of time is closely tied to the concept of space, and many theories in physics, such as relativity, suggest that the flow of time can be affected by the presence of matter and energy. However, these theories do not allow for time travel into the past.It is important to note that time travel is still just a theoretical concept and has not been proven to be possible by any scientific experiments or observations."
p-2-a-2,টাইম ট্রাভেল কি সম্ভব?,পদার্থবিজ্ঞান,2,+1,31,https://www.sciencebee.com.bd/qna/33039/%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AD%E0%A7%87%E0%A6%B2-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AD%E0%A6%AC,"['টাইম', 'ট্রাভেল', 'লুপ', 'ডাইমেনশন']","স্টেফিন হকিং এর মতে টাইম ট্রাভেল সম্ভব না। এ ব্যপারে তিনি বলেছেন যে, “আমার কাছে পরীক্ষামূলক প্রমাণ আছে যে সময় ভ্রমণ সম্ভাবনাময় নয়।” টাইম প্যারাডেক্স গুলো যেন টাইম ট্রাভেল এর হিসেব নিকেশ আরো এলো মেলো করে দেয়। টাইম ট্রাভেল এর ক্ষেত্রে আপনি যখন টাইম মেশিনে করে অতীতে যাবেন।"
p-2-a-None,কিছু ভৌগলিক টার্ম,বাংলাদেশ ও বিশ্ব,0,0,12,https://www.sciencebee.com.bd/qna/33028/%E0%A6%AD%E0%A7%8C%E0%A6%97%E0%A6%B2%E0%A6%BF%E0%A6%95-%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AE,"['দেশ', 'ভৌগলিক', 'আন্তর্জাতিক']",
p-2-a-None,চুলের ব্যাবহারের জন্যে Minoxidil ৫% &finastride জাতীয় ঔষদে ড্রপ টেস্ট রেজাল্ট পজিটিভ আসে কি? [poll],স্বাস্থ্য ও চিকিৎসা,0,0,12,https://www.sciencebee.com.bd/qna/33027/%26finastride,"['ডোপ', 'মাদক', 'টেস্ট', 'রক্ত', 'পদার্থ']",
p-2-a-None,ইলেকট্রিক শকের কি কোনো দীর্ঘস্থায়ী প্রভাব আছে আমাদের শরীরে?,চিন্তা ও দক্ষতা,0,0,14,https://www.sciencebee.com.bd/qna/33025/%E0%A6%A6%E0%A7%80%E0%A6%B0%E0%A7%8D%E0%A6%98%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A7%9F%E0%A7%80,"['ইলেকট্রিক', 'শক', 'বিদ্যুৎ']",
p-2-a-None,নদীর পানিতে বিভিন্ন জায়গায় ছোট ছোট ঘূর্ণন দেখা যায়। এটি কিভাবে সৃষ্টি হয়?,তত্ত্ব ও গবেষণা,0,0,16,https://www.sciencebee.com.bd/qna/33024/%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%AC%E0%A6%BF%E0%A6%AD%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A8,"['নদী', 'পানি', 'ঘূর্ণন']",
